record_id,employee_id,course_name,category,provider,completion_date,hours,status,result
TRN-00239,MOEI-10072,Service Design Thinking,Customer Service,External Vendor,2025-04-22,12,Completed,Passed
TRN-00240,MOEI-10073,Generative AI Foundations,Digital & AI,Federal Authority for Government HR,2026-02-07,12,Completed,Passed
TRN-00241,MOEI-10073,Data Visualization,Data Analytics,Mohammed Bin Rashid School of Government,2026-04-01,4,Completed,Passed
TRN-00242,MOEI-10073,Business English,Language & Communication,Federal Authority for Government HR,2025-01-25,12,Completed,Passed
TRN-00243,MOEI-10073,Infrastructure Asset Management,Technical & Engineering,Mohammed Bin Rashid School of Government,2025-10-13,40,Completed,Passed
TRN-00244,MOEI-10073,Data-Driven Decision Making,Digital & AI,Coursera (Gov Licence),2026-02-27,12,Completed,Passed
TRN-00245,MOEI-10073,Government Budgeting,Finance & Procurement,Federal Authority for Government HR,2025-07-30,16,Completed,Passed
TRN-00246,MOEI-10074,Information Security Basics,Compliance & Ethics,Mohammed Bin Rashid School of Government,2026-02-26,4,Completed,Passed
TRN-00247,MOEI-10074,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,,40,Enrolled,
TRN-00248,MOEI-10074,Customer Happiness Standards,Customer Service,External Vendor,2025-06-19,4,Completed,Passed
TRN-00249,MOEI-10074,Anti-Fraud Awareness,Compliance & Ethics,MOEI Academy,2025-12-06,4,Completed,Passed
TRN-00250,MOEI-10074,SQL for Beginners,Data Analytics,Federal Authority for Government HR,2025-05-25,40,Completed,Passed
TRN-00251,MOEI-10074,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2025-03-31,24,Completed,Passed
TRN-00252,MOEI-10075,SQL for Beginners,Data Analytics,Federal Authority for Government HR,2023-10-17,12,Completed,Passed
TRN-00253,MOEI-10075,Data Visualization,Data Analytics,Coursera (Gov Licence),2023-08-01,12,Completed,Passed
TRN-00254,MOEI-10075,Customer Happiness Standards,Customer Service,External Vendor,,40,Enrolled,
TRN-00255,MOEI-10075,Public Speaking,Language & Communication,Coursera (Gov Licence),,8,In Progress,
TRN-00256,MOEI-10075,Financial Reporting,Finance & Procurement,External Vendor,2022-12-12,16,Completed,Passed
TRN-00257,MOEI-10076,Data-Driven Decision Making,Digital & AI,External Vendor,2025-03-07,16,Completed,Passed
TRN-00258,MOEI-10076,Emergency Response,Health & Safety,Federal Authority for Government HR,2022-08-31,8,Completed,Passed
TRN-00259,MOEI-10076,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2026-03-09,16,Completed,Passed
TRN-00260,MOEI-10076,Business English,Language & Communication,Federal Authority for Government HR,2023-08-03,16,Completed,Passed
TRN-00261,MOEI-10076,Applied AI for Government,Digital & AI,Federal Authority for Government HR,,24,Enrolled,
TRN-00262,MOEI-10076,Strategic Decision Making,Leadership & Management,Federal Authority for Government HR,2022-06-25,12,Completed,Passed
TRN-00263,MOEI-10076,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2025-12-31,40,Completed,Passed
TRN-00264,MOEI-10077,Government Budgeting,Finance & Procurement,MOEI Academy,2022-07-15,12,Completed,Passed
TRN-00265,MOEI-10077,Agile Project Delivery,Project Management,External Vendor,,40,Enrolled,
TRN-00266,MOEI-10077,Future Leaders Programme,Leadership & Management,Coursera (Gov Licence),2023-06-04,12,Completed,Passed
TRN-00267,MOEI-10077,Service Design Thinking,Customer Service,External Vendor,,4,Enrolled,
TRN-00268,MOEI-10077,Business English,Language & Communication,Coursera (Gov Licence),2023-06-18,12,Completed,Passed
TRN-00269,MOEI-10078,Power BI Essentials,Data Analytics,Coursera (Gov Licence),2023-10-12,8,Completed,Passed
TRN-00270,MOEI-10078,Government Budgeting,Finance & Procurement,Federal Authority for Government HR,2023-10-04,16,Completed,Passed
TRN-00271,MOEI-10078,Financial Reporting,Finance & Procurement,Mohammed Bin Rashid School of Government,,12,Enrolled,
TRN-00272,MOEI-10078,Arabic Business Writing,Language & Communication,Federal Authority for Government HR,2024-11-24,12,Completed,Passed
TRN-00273,MOEI-10079,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),,4,In Progress,
TRN-00274,MOEI-10079,PMP Preparation,Project Management,MOEI Academy,2022-04-22,16,Completed,Passed
TRN-00275,MOEI-10079,Government Budgeting,Finance & Procurement,MOEI Academy,2025-12-16,16,Completed,Passed
TRN-00276,MOEI-10079,Strategic Decision Making,Leadership & Management,External Vendor,,16,Enrolled,
TRN-00277,MOEI-10079,Emergency Response,Health & Safety,Federal Authority for Government HR,,4,In Progress,
TRN-00278,MOEI-10079,Code of Ethics Refresher,Compliance & Ethics,Federal Authority for Government HR,,8,In Progress,
TRN-00279,MOEI-10080,Infrastructure Asset Management,Technical & Engineering,External Vendor,,8,In Progress,
TRN-00280,MOEI-10080,Business English,Language & Communication,Federal Authority for Government HR,2025-03-10,16,Completed,Passed
TRN-00281,MOEI-10080,Data-Driven Decision Making,Digital & AI,MOEI Academy,2025-11-13,12,Completed,Passed
TRN-00282,MOEI-10081,Financial Reporting,Finance & Procurement,Mohammed Bin Rashid School of Government,2025-10-25,24,Completed,Passed
TRN-00283,MOEI-10082,Code of Ethics Refresher,Compliance & Ethics,Coursera (Gov Licence),2022-03-01,16,Completed,Passed
TRN-00284,MOEI-10083,Financial Reporting,Finance & Procurement,MOEI Academy,2025-09-09,40,Completed,Passed
TRN-00285,MOEI-10083,Arabic Business Writing,Language & Communication,External Vendor,,8,Enrolled,
TRN-00286,MOEI-10083,PMP Preparation,Project Management,MOEI Academy,2025-08-11,40,Completed,Passed
TRN-00287,MOEI-10083,Digital Transformation,Digital & AI,Federal Authority for Government HR,2022-07-09,8,Completed,Passed
TRN-00288,MOEI-10083,Customer Happiness Standards,Customer Service,Federal Authority for Government HR,,16,In Progress,
TRN-00289,MOEI-10083,Service Design Thinking,Customer Service,Federal Authority for Government HR,2025-08-18,4,Completed,Passed
TRN-00290,MOEI-10084,Financial Reporting,Finance & Procurement,MOEI Academy,2024-01-19,12,Completed,Passed
TRN-00291,MOEI-10084,Emergency Response,Health & Safety,External Vendor,2025-06-28,24,Completed,Passed
TRN-00292,MOEI-10084,Generative AI Foundations,Digital & AI,Coursera (Gov Licence),2024-05-11,4,Completed,Passed
TRN-00293,MOEI-10084,Strategic Decision Making,Leadership & Management,Federal Authority for Government HR,2024-07-28,16,Completed,Passed
TRN-00294,MOEI-10084,Maritime Safety Standards,Technical & Engineering,MOEI Academy,2024-12-11,16,Completed,Passed
TRN-00295,MOEI-10084,Infrastructure Asset Management,Technical & Engineering,External Vendor,2024-12-21,4,Completed,Passed
TRN-00296,MOEI-10084,Customer Happiness Standards,Customer Service,External Vendor,2025-12-02,12,Completed,Passed
TRN-00297,MOEI-10085,Financial Reporting,Finance & Procurement,MOEI Academy,2022-06-17,4,Completed,Passed
TRN-00298,MOEI-10085,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2026-05-30,4,Completed,Passed
TRN-00299,MOEI-10085,Digital Transformation,Digital & AI,External Vendor,2025-12-13,40,Completed,Passed
TRN-00300,MOEI-10086,Emergency Response,Health & Safety,Federal Authority for Government HR,,8,Enrolled,
TRN-00301,MOEI-10087,Generative AI Foundations,Digital & AI,MOEI Academy,2025-08-31,4,Completed,Passed
TRN-00302,MOEI-10087,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2025-07-14,16,Completed,Passed
TRN-00303,MOEI-10088,Service Design Thinking,Customer Service,External Vendor,2025-02-11,12,Completed,Passed
TRN-00304,MOEI-10088,Data-Driven Decision Making,Digital & AI,MOEI Academy,2024-03-04,4,Completed,Passed
TRN-00305,MOEI-10088,PMP Preparation,Project Management,Federal Authority for Government HR,2024-08-03,40,Completed,Passed
TRN-00306,MOEI-10088,Agile Project Delivery,Project Management,Coursera (Gov Licence),2024-06-26,8,Completed,Passed
TRN-00307,MOEI-10088,Emergency Response,Health & Safety,Federal Authority for Government HR,2023-07-16,40,Completed,Passed
TRN-00308,MOEI-10089,Emergency Response,Health & Safety,Coursera (Gov Licence),2024-08-23,24,Completed,Passed
TRN-00309,MOEI-10089,PMP Preparation,Project Management,Coursera (Gov Licence),2023-08-27,4,Completed,Passed
TRN-00310,MOEI-10089,Code of Ethics Refresher,Compliance & Ethics,Coursera (Gov Licence),2022-07-30,16,Completed,Passed
TRN-00311,MOEI-10089,Strategic Decision Making,Leadership & Management,External Vendor,2024-03-29,40,Completed,Passed
TRN-00312,MOEI-10089,Public Speaking,Language & Communication,MOEI Academy,2024-09-26,24,Completed,Passed
TRN-00313,MOEI-10090,Service Design Thinking,Customer Service,Coursera (Gov Licence),2025-02-07,16,Completed,Passed
TRN-00314,MOEI-10091,Emergency Response,Health & Safety,MOEI Academy,2026-04-30,8,Completed,Passed
TRN-00315,MOEI-10092,Agile Project Delivery,Project Management,External Vendor,2026-04-04,8,Completed,Passed
TRN-00316,MOEI-10092,Public Speaking,Language & Communication,Coursera (Gov Licence),,8,Enrolled,
TRN-00317,MOEI-10092,Financial Reporting,Finance & Procurement,Mohammed Bin Rashid School of Government,,16,Enrolled,
TRN-00318,MOEI-10093,Digital Transformation,Digital & AI,Federal Authority for Government HR,2024-03-06,24,Completed,Passed
TRN-00319,MOEI-10093,Future Leaders Programme,Leadership & Management,Mohammed Bin Rashid School of Government,2023-11-13,12,Completed,Passed
TRN-00320,MOEI-10093,Power BI Essentials,Data Analytics,Coursera (Gov Licence),2026-01-29,4,Completed,Passed
TRN-00321,MOEI-10093,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2025-03-07,12,Completed,Passed
TRN-00322,MOEI-10093,Infrastructure Asset Management,Technical & Engineering,External Vendor,2026-04-30,24,Completed,Passed
TRN-00323,MOEI-10094,Applied AI for Government,Digital & AI,MOEI Academy,2025-01-26,4,Completed,Passed
TRN-00324,MOEI-10094,Public Speaking,Language & Communication,MOEI Academy,,24,In Progress,
TRN-00325,MOEI-10094,Data-Driven Decision Making,Digital & AI,Federal Authority for Government HR,2026-02-24,12,Completed,Passed
TRN-00326,MOEI-10094,Data Visualization,Data Analytics,Coursera (Gov Licence),2025-02-03,40,Completed,Passed
TRN-00327,MOEI-10094,Anti-Fraud Awareness,Compliance & Ethics,Federal Authority for Government HR,2023-05-23,16,Completed,Passed
TRN-00328,MOEI-10095,Government Leadership Excellence,Leadership & Management,External Vendor,2024-08-28,8,Completed,Passed
TRN-00329,MOEI-10096,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2026-04-19,8,Completed,Passed
TRN-00330,MOEI-10097,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),,16,In Progress,
TRN-00331,MOEI-10097,Emergency Response,Health & Safety,MOEI Academy,2022-03-02,40,Completed,Passed
TRN-00332,MOEI-10097,Maritime Safety Standards,Technical & Engineering,Coursera (Gov Licence),2022-06-23,8,Completed,Passed
TRN-00333,MOEI-10098,Power BI Essentials,Data Analytics,External Vendor,,12,Enrolled,
TRN-00334,MOEI-10098,Service Design Thinking,Customer Service,Mohammed Bin Rashid School of Government,2025-10-26,40,Completed,Passed
TRN-00335,MOEI-10098,Anti-Fraud Awareness,Compliance & Ethics,External Vendor,,24,In Progress,
TRN-00336,MOEI-10099,Service Design Thinking,Customer Service,External Vendor,2025-08-11,24,Completed,Passed
TRN-00337,MOEI-10099,Public Speaking,Language & Communication,Coursera (Gov Licence),2024-06-24,8,Completed,Passed
TRN-00338,MOEI-10100,Applied AI for Government,Digital & AI,Federal Authority for Government HR,2025-12-05,24,Completed,Passed
TRN-00339,MOEI-10100,Infrastructure Asset Management,Technical & Engineering,External Vendor,2024-02-11,12,Completed,Passed
TRN-00340,MOEI-10101,Generative AI Foundations,Digital & AI,Mohammed Bin Rashid School of Government,,40,In Progress,
TRN-00341,MOEI-10101,Applied AI for Government,Digital & AI,External Vendor,2024-02-03,12,Completed,Passed
TRN-00342,MOEI-10101,Data-Driven Decision Making,Digital & AI,External Vendor,2023-12-19,40,Completed,Passed
TRN-00343,MOEI-10101,Government Leadership Excellence,Leadership & Management,External Vendor,2022-08-04,8,Completed,Passed
TRN-00344,MOEI-10101,Anti-Fraud Awareness,Compliance & Ethics,Coursera (Gov Licence),2022-07-20,16,Completed,Passed
TRN-00345,MOEI-10101,Coaching for Managers,Leadership & Management,External Vendor,2025-10-18,24,Completed,Passed
TRN-00346,MOEI-10101,Service Design Thinking,Customer Service,Coursera (Gov Licence),2025-04-11,16,Completed,Passed
TRN-00347,MOEI-10102,Emergency Response,Health & Safety,Federal Authority for Government HR,2022-11-30,16,Completed,Passed
TRN-00348,MOEI-10102,Occupational Health & Safety,Health & Safety,External Vendor,2025-12-13,4,Completed,Passed
TRN-00349,MOEI-10102,Agile Project Delivery,Project Management,Federal Authority for Government HR,2024-08-27,24,Completed,Passed
TRN-00350,MOEI-10104,Arabic Business Writing,Language & Communication,External Vendor,2022-08-14,12,Completed,Passed
TRN-00351,MOEI-10105,Coaching for Managers,Leadership & Management,MOEI Academy,2023-09-14,8,Completed,Passed
TRN-00352,MOEI-10105,Applied AI for Government,Digital & AI,Federal Authority for Government HR,,8,In Progress,
TRN-00353,MOEI-10105,Occupational Health & Safety,Health & Safety,MOEI Academy,2022-09-08,4,Completed,Passed
TRN-00354,MOEI-10105,Digital Transformation,Digital & AI,Coursera (Gov Licence),2023-11-23,40,Completed,Passed
TRN-00355,MOEI-10105,Advanced Excel for Analysts,Data Analytics,Coursera (Gov Licence),2024-10-30,40,Completed,Passed
TRN-00356,MOEI-10106,Data Visualization,Data Analytics,External Vendor,2022-07-02,16,Completed,Passed
TRN-00357,MOEI-10107,Agile Project Delivery,Project Management,Coursera (Gov Licence),2024-10-25,40,Completed,Passed
TRN-00358,MOEI-10107,Financial Reporting,Finance & Procurement,MOEI Academy,,24,In Progress,
TRN-00359,MOEI-10107,Applied AI for Government,Digital & AI,External Vendor,,24,Enrolled,
TRN-00360,MOEI-10108,Public Speaking,Language & Communication,External Vendor,2023-01-23,4,Completed,Passed
TRN-00361,MOEI-10109,Maritime Safety Standards,Technical & Engineering,Federal Authority for Government HR,2022-02-08,8,Completed,Passed
TRN-00362,MOEI-10110,Arabic Business Writing,Language & Communication,External Vendor,,12,In Progress,
TRN-00363,MOEI-10110,Customer Happiness Standards,Customer Service,MOEI Academy,,12,In Progress,
TRN-00364,MOEI-10110,Infrastructure Asset Management,Technical & Engineering,MOEI Academy,2024-07-22,4,Completed,Passed
TRN-00365,MOEI-10110,Maritime Safety Standards,Technical & Engineering,Mohammed Bin Rashid School of Government,2024-01-06,4,Completed,Passed
TRN-00366,MOEI-10111,Public Procurement Rules,Finance & Procurement,External Vendor,2025-10-21,12,Completed,Passed
TRN-00367,MOEI-10111,Power BI Essentials,Data Analytics,Coursera (Gov Licence),2025-12-31,4,Completed,Passed
TRN-00368,MOEI-10112,SQL for Beginners,Data Analytics,MOEI Academy,2023-10-26,4,Completed,Passed
TRN-00369,MOEI-10112,PMP Preparation,Project Management,Federal Authority for Government HR,2026-03-21,16,Completed,Passed
TRN-00370,MOEI-10112,Energy Systems,Technical & Engineering,Mohammed Bin Rashid School of Government,,4,Enrolled,
TRN-00371,MOEI-10114,Government Leadership Excellence,Leadership & Management,External Vendor,2022-02-08,40,Completed,Passed
TRN-00372,MOEI-10114,Data-Driven Decision Making,Digital & AI,Coursera (Gov Licence),2023-09-16,4,Completed,Passed
TRN-00373,MOEI-10114,Maritime Safety Standards,Technical & Engineering,Mohammed Bin Rashid School of Government,,24,Enrolled,
TRN-00374,MOEI-10114,Risk Management Fundamentals,Project Management,External Vendor,,16,Enrolled,
TRN-00375,MOEI-10114,Generative AI Foundations,Digital & AI,MOEI Academy,,4,Enrolled,
TRN-00376,MOEI-10114,Emergency Response,Health & Safety,Coursera (Gov Licence),2025-05-09,12,Completed,Passed
TRN-00377,MOEI-10114,Government Budgeting,Finance & Procurement,External Vendor,2022-11-27,4,Completed,Passed
TRN-00378,MOEI-10114,Future Leaders Programme,Leadership & Management,Mohammed Bin Rashid School of Government,2022-10-14,16,Completed,Passed
TRN-00379,MOEI-10115,Information Security Basics,Compliance & Ethics,Coursera (Gov Licence),,12,Enrolled,
TRN-00380,MOEI-10115,Risk Management Fundamentals,Project Management,Coursera (Gov Licence),2024-12-01,24,Completed,Passed
TRN-00381,MOEI-10115,Code of Ethics Refresher,Compliance & Ethics,MOEI Academy,2023-11-12,24,Completed,Passed
TRN-00382,MOEI-10115,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2023-03-03,24,Completed,Passed
TRN-00383,MOEI-10115,Emergency Response,Health & Safety,MOEI Academy,2026-02-18,24,Completed,Passed
TRN-00384,MOEI-10115,Strategic Decision Making,Leadership & Management,Coursera (Gov Licence),2023-10-22,24,Completed,Passed
TRN-00385,MOEI-10116,Customer Happiness Standards,Customer Service,MOEI Academy,2026-04-17,4,Completed,Passed
TRN-00386,MOEI-10116,Emergency Response,Health & Safety,Federal Authority for Government HR,2025-05-21,40,Completed,Passed
TRN-00387,MOEI-10116,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,,8,Enrolled,
TRN-00388,MOEI-10117,Public Speaking,Language & Communication,Federal Authority for Government HR,,8,In Progress,
TRN-00389,MOEI-10118,Code of Ethics Refresher,Compliance & Ethics,External Vendor,2023-07-29,8,Completed,Passed
TRN-00390,MOEI-10118,Government Leadership Excellence,Leadership & Management,Mohammed Bin Rashid School of Government,2025-07-31,24,Completed,Passed
TRN-00391,MOEI-10118,Infrastructure Asset Management,Technical & Engineering,External Vendor,2022-12-16,40,Completed,Passed
TRN-00392,MOEI-10118,Public Speaking,Language & Communication,Federal Authority for Government HR,2022-12-26,40,Completed,Passed
TRN-00393,MOEI-10119,Data Visualization,Data Analytics,External Vendor,,40,In Progress,
TRN-00394,MOEI-10121,Coaching for Managers,Leadership & Management,Coursera (Gov Licence),2025-10-26,4,Completed,Passed
TRN-00395,MOEI-10121,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2023-10-24,12,Completed,Passed
TRN-00396,MOEI-10122,Infrastructure Asset Management,Technical & Engineering,MOEI Academy,2025-10-17,40,Completed,Passed
TRN-00397,MOEI-10123,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2024-05-10,4,Completed,Passed
TRN-00398,MOEI-10123,Customer Happiness Standards,Customer Service,External Vendor,2023-11-17,4,Completed,Passed
TRN-00399,MOEI-10124,Risk Management Fundamentals,Project Management,Federal Authority for Government HR,,8,Enrolled,
TRN-00400,MOEI-10124,Data Visualization,Data Analytics,MOEI Academy,2023-09-29,4,Completed,Passed
TRN-00401,MOEI-10124,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,2022-02-19,12,Completed,Passed
TRN-00402,MOEI-10124,PMP Preparation,Project Management,Mohammed Bin Rashid School of Government,2024-08-27,4,Completed,Passed
TRN-00403,MOEI-10124,Information Security Basics,Compliance & Ethics,External Vendor,,24,Enrolled,
TRN-00404,MOEI-10124,Occupational Health & Safety,Health & Safety,MOEI Academy,2025-07-04,4,Completed,Passed
TRN-00405,MOEI-10125,Strategic Decision Making,Leadership & Management,MOEI Academy,,8,In Progress,
TRN-00406,MOEI-10126,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2024-07-04,4,Completed,Passed
TRN-00407,MOEI-10127,Future Leaders Programme,Leadership & Management,Coursera (Gov Licence),,4,In Progress,
TRN-00408,MOEI-10128,Customer Happiness Standards,Customer Service,External Vendor,2025-05-12,4,Completed,Passed
TRN-00409,MOEI-10128,Emergency Response,Health & Safety,External Vendor,2024-08-08,24,Completed,Passed
TRN-00410,MOEI-10128,Generative AI Foundations,Digital & AI,MOEI Academy,,16,Enrolled,
TRN-00411,MOEI-10128,Infrastructure Asset Management,Technical & Engineering,MOEI Academy,2025-04-18,4,Completed,Passed
TRN-00412,MOEI-10128,Public Speaking,Language & Communication,Federal Authority for Government HR,2022-05-19,24,Completed,Passed
TRN-00413,MOEI-10129,Infrastructure Asset Management,Technical & Engineering,External Vendor,2023-12-29,16,Completed,Passed
TRN-00414,MOEI-10129,Advanced Excel for Analysts,Data Analytics,MOEI Academy,2022-10-09,8,Completed,Passed
TRN-00415,MOEI-10130,Arabic Business Writing,Language & Communication,Mohammed Bin Rashid School of Government,,12,Enrolled,
TRN-00416,MOEI-10130,Public Speaking,Language & Communication,Coursera (Gov Licence),2026-05-08,12,Completed,Passed
TRN-00417,MOEI-10131,Code of Ethics Refresher,Compliance & Ethics,Federal Authority for Government HR,2025-12-20,4,Completed,Passed
TRN-00418,MOEI-10131,Risk Management Fundamentals,Project Management,Coursera (Gov Licence),,12,In Progress,
TRN-00419,MOEI-10131,PMP Preparation,Project Management,MOEI Academy,,12,In Progress,
TRN-00420,MOEI-10133,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,2025-03-30,24,Completed,Passed
TRN-00421,MOEI-10133,Future Leaders Programme,Leadership & Management,MOEI Academy,,16,In Progress,
TRN-00422,MOEI-10133,Government Leadership Excellence,Leadership & Management,External Vendor,2025-11-20,8,Completed,Passed
TRN-00423,MOEI-10133,Generative AI Foundations,Digital & AI,Coursera (Gov Licence),2026-02-24,8,Completed,Passed
TRN-00424,MOEI-10133,Coaching for Managers,Leadership & Management,MOEI Academy,2022-01-21,24,Completed,Passed
TRN-00425,MOEI-10133,Code of Ethics Refresher,Compliance & Ethics,Mohammed Bin Rashid School of Government,2022-03-02,8,Completed,Passed
TRN-00426,MOEI-10133,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2023-02-06,4,Completed,Passed
TRN-00427,MOEI-10134,SQL for Beginners,Data Analytics,MOEI Academy,2025-09-03,12,Completed,Passed
TRN-00428,MOEI-10135,Public Procurement Rules,Finance & Procurement,Mohammed Bin Rashid School of Government,2023-05-07,40,Completed,Passed
TRN-00429,MOEI-10135,SQL for Beginners,Data Analytics,Federal Authority for Government HR,2025-12-27,8,Completed,Passed
TRN-00430,MOEI-10136,Risk Management Fundamentals,Project Management,Mohammed Bin Rashid School of Government,2024-07-14,24,Completed,Passed
TRN-00431,MOEI-10136,Customer Happiness Standards,Customer Service,External Vendor,2022-09-03,8,Completed,Passed
TRN-00432,MOEI-10137,Government Budgeting,Finance & Procurement,Mohammed Bin Rashid School of Government,2023-11-03,8,Completed,Passed
TRN-00433,MOEI-10137,Energy Systems,Technical & Engineering,MOEI Academy,2024-09-28,16,Completed,Passed
TRN-00434,MOEI-10137,Business English,Language & Communication,External Vendor,2022-12-09,12,Completed,Passed
TRN-00435,MOEI-10137,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,2023-01-02,24,Completed,Passed
TRN-00436,MOEI-10138,Public Speaking,Language & Communication,Federal Authority for Government HR,2024-02-13,16,Completed,Passed
TRN-00437,MOEI-10138,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2024-11-15,24,Completed,Passed
TRN-00438,MOEI-10138,Generative AI Foundations,Digital & AI,MOEI Academy,2025-07-23,12,Completed,Passed
TRN-00439,MOEI-10138,Future Leaders Programme,Leadership & Management,Mohammed Bin Rashid School of Government,2025-04-27,16,Completed,Passed
TRN-00440,MOEI-10138,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2026-04-09,16,Completed,Passed
TRN-00441,MOEI-10138,Code of Ethics Refresher,Compliance & Ethics,External Vendor,,24,In Progress,
TRN-00442,MOEI-10138,Government Budgeting,Finance & Procurement,Mohammed Bin Rashid School of Government,2024-04-16,4,Completed,Passed
TRN-00443,MOEI-10139,Anti-Fraud Awareness,Compliance & Ethics,Mohammed Bin Rashid School of Government,2024-04-24,8,Completed,Passed
TRN-00444,MOEI-10139,Business English,Language & Communication,MOEI Academy,,12,In Progress,
TRN-00445,MOEI-10139,Public Procurement Rules,Finance & Procurement,External Vendor,,40,Enrolled,
TRN-00446,MOEI-10139,Strategic Decision Making,Leadership & Management,Federal Authority for Government HR,2026-04-14,16,Completed,Passed
TRN-00447,MOEI-10139,PMP Preparation,Project Management,External Vendor,2023-10-17,24,Completed,Passed
TRN-00448,MOEI-10139,Infrastructure Asset Management,Technical & Engineering,MOEI Academy,2025-03-15,12,Completed,Passed
TRN-00449,MOEI-10140,Service Design Thinking,Customer Service,External Vendor,2023-11-22,4,Completed,Passed
TRN-00450,MOEI-10140,Code of Ethics Refresher,Compliance & Ethics,Mohammed Bin Rashid School of Government,,40,In Progress,
TRN-00451,MOEI-10141,Emergency Response,Health & Safety,Coursera (Gov Licence),2025-09-01,40,Completed,Passed
TRN-00452,MOEI-10142,Infrastructure Asset Management,Technical & Engineering,External Vendor,2023-10-30,4,Completed,Passed
TRN-00453,MOEI-10142,Advanced Excel for Analysts,Data Analytics,External Vendor,2023-11-08,24,Completed,Passed
TRN-00454,MOEI-10142,Arabic Business Writing,Language & Communication,Coursera (Gov Licence),2024-02-20,4,Completed,Passed
TRN-00455,MOEI-10143,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2023-11-05,40,Completed,Passed
TRN-00456,MOEI-10143,Government Budgeting,Finance & Procurement,External Vendor,2022-12-18,8,Completed,Passed
TRN-00457,MOEI-10144,Arabic Business Writing,Language & Communication,MOEI Academy,2022-02-24,16,Completed,Passed
TRN-00458,MOEI-10145,PMP Preparation,Project Management,MOEI Academy,2023-08-20,16,Completed,Passed
TRN-00459,MOEI-10145,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2024-11-27,16,Completed,Passed
TRN-00460,MOEI-10145,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2022-08-15,16,Completed,Passed
TRN-00461,MOEI-10146,Digital Transformation,Digital & AI,Federal Authority for Government HR,2023-02-27,12,Completed,Passed
TRN-00462,MOEI-10146,Service Design Thinking,Customer Service,Mohammed Bin Rashid School of Government,2022-11-22,24,Completed,Passed
TRN-00463,MOEI-10146,Risk Management Fundamentals,Project Management,Mohammed Bin Rashid School of Government,2026-01-07,8,Completed,Passed
TRN-00464,MOEI-10146,Government Leadership Excellence,Leadership & Management,Coursera (Gov Licence),2024-07-01,24,Completed,Passed
TRN-00465,MOEI-10146,Information Security Basics,Compliance & Ethics,External Vendor,2024-10-02,4,Completed,Passed
TRN-00466,MOEI-10147,Digital Transformation,Digital & AI,Mohammed Bin Rashid School of Government,2023-12-17,16,Completed,Passed
TRN-00467,MOEI-10147,SQL for Beginners,Data Analytics,External Vendor,2023-05-31,40,Completed,Passed
TRN-00468,MOEI-10147,Government Leadership Excellence,Leadership & Management,Coursera (Gov Licence),2025-12-06,40,Completed,Passed
TRN-00469,MOEI-10147,PMP Preparation,Project Management,External Vendor,,12,In Progress,
TRN-00470,MOEI-10147,Data-Driven Decision Making,Digital & AI,External Vendor,2024-10-12,4,Completed,Passed
TRN-00471,MOEI-10147,Applied AI for Government,Digital & AI,Mohammed Bin Rashid School of Government,2024-11-04,16,Completed,Passed
TRN-00472,MOEI-10147,Future Leaders Programme,Leadership & Management,Coursera (Gov Licence),2024-08-09,16,Completed,Passed
TRN-00473,MOEI-10148,Data Visualization,Data Analytics,Coursera (Gov Licence),2025-10-04,16,Completed,Passed
TRN-00474,MOEI-10148,Applied AI for Government,Digital & AI,Coursera (Gov Licence),2025-01-28,8,Completed,Passed
TRN-00475,MOEI-10148,Emergency Response,Health & Safety,MOEI Academy,2022-11-27,24,Completed,Passed
TRN-00476,MOEI-10148,Data-Driven Decision Making,Digital & AI,Coursera (Gov Licence),2023-08-26,8,Completed,Passed
TRN-00477,MOEI-10148,Government Budgeting,Finance & Procurement,Federal Authority for Government HR,2024-06-21,40,Completed,Passed
TRN-00478,MOEI-10149,Maritime Safety Standards,Technical & Engineering,External Vendor,2025-11-08,40,Completed,Passed
TRN-00479,MOEI-10150,Digital Transformation,Digital & AI,MOEI Academy,2025-11-14,24,Completed,Passed
